ta2Id,name,chapter,class,kind,match,meshCount,meshes
1388,"Intercondylar line",2,feature,,n/a,0,""
1389,"SESAMOID BONES OF KNEE",2,heading,,n/a,0,""
1390,"Patella",2,structure,bone / cartilage / joint,exact,4,"male:left-patella male:right-patella female:f-right-patella female:f-left-patella"
1391,"Base of patella",2,feature,,n/a,0,""
1392,"Apex of patella",2,feature,,n/a,0,""
1393,"Articular surface of patella",2,feature,,n/a,0,""
1394,"Anterior surface of patella",2,feature,,n/a,0,""
1395,"(Fabella)",2,structure,other,none,0,""
1396,"(Cyamella)",2,structure,other,none,0,""
1397,"TIBIA",2,structure,bone / cartilage / joint,exact,4,"male:left-tibia male:right-tibia female:f-right-tibia female:f-left-tibia"
1398,"Tibial plateau",2,structure,other,none,0,""
1399,"Superior articular surfaces of tibia",2,structure,bone / cartilage / joint,none,0,""
1400,"Articular surface of medial condyle",2,feature,,n/a,0,""
1401,"Superior articular surface of lateral condyle",2,feature,,n/a,0,""
1402,"Intercondylar area",2,structure,other,none,0,""
1403,"Anterior intercondylar area",2,structure,other,none,0,""
1404,"Posterior intercondylar area",2,structure,other,none,0,""
1405,"Intercondylar eminence",2,feature,,n/a,0,""
1406,"Medial intercondylar tubercle",2,feature,,n/a,0,""
1407,"Lateral intercondylar tubercle",2,feature,,n/a,0,""
1408,"Medial condyle of tibia",2,feature,,n/a,0,""
1409,"Lateral condyle of tibia",2,feature,,n/a,0,""
1410,"Fibular articular facet",2,feature,,n/a,0,""
1411,"Tubercle of iliotibial tract",2,feature,,n/a,0,""
1412,"Body of tibia",2,feature,,n/a,0,""
1413,"Tibial tuberosity",2,feature,,n/a,0,""
1414,"Medial surface of tibia",2,feature,,n/a,0,""
1415,"Medial border of tibia",2,feature,,n/a,0,""
1416,"Posterior surface of tibia",2,feature,,n/a,0,""
1417,"Soleal line",2,feature,,n/a,0,""
1418,"Interosseous border of tibia",2,feature,,n/a,0,""
1419,"Lateral surface of tibia",2,feature,,n/a,0,""
1420,"Anterior border of tibia",2,feature,,n/a,0,""
1421,"Medial malleolus",2,structure,other,partial,2,"male:left-subcutaneous-bursa-of-medial-malleolus male:right-subcutaneous-bursa-of-medial-malleolus"
1422,"Malleolar groove of tibia",2,feature,,n/a,0,""
1423,"Articular facet of medial malleolus",2,feature,,n/a,0,""
1424,"Posterior malleolus",2,structure,other,none,0,""
1425,"Fibular notch",2,feature,,n/a,0,""
